model_number,part_number,description,classification,series,canopy_color,frame_color,carrier_type,shipping_dims,carton_1_width,carton_1_depth,carton_1_height,product_weight_lb,pallet_weight_lb,total_product_pallet_weight_lb,location,inventory,ships_via,stock_status,warehouse_category,missing_fields,last_updated,source_file_name,source_sheet_name,source_row_number,record_key,match_key,source_classification,manual_classification,review_needed,review_notes,item_type,series_code,source_status,department,unit,oem,brand,upc,color_code,cost,store_price,gross_weight_lb,cubic_feet,pallet_size,retail,q3_2025_retail,specs,pictures,notes,notes2,shop_status,reference_sources,database_match,frontend_match,legacy_match,database_only,frontend_only,legacy_reference_only,missing_from_master_lookup,discontinued_reference
EAF1210-A086H3,,Cedar & Clove Stripes,Awning,Prestige Series,Cedar and Clove Stripes,Beige,LTL,13.38 x 148.81 x 11.81,13.38,148.81,11.81,131.2,49,203,,5,Freight,In Stock,Awnings,location,2026-05-26T23:58:11.198Z,Copy of oms_inventory_lookup.xlsx,master_lookup,2,EAF1210-A086H3,EAF1210-A086H3,Awning,false,true,Missing: location,Electric,P,,,,1210ft,,814841022011,R086,3639,3639,154,13.608002788194447,150x16,,,"Full Cassette Motorized Retractable Awning,12X10,Acrylic-R08",,"Color: Beige, Cedar w/Clove Stripes",,,"database, frontend, legacy",yes,yes,yes,,,,,
EAF1210-A348H3,,Fossil & Ash Stripes,Awning,Prestige Series,Fossil and Ash Stripes,Beige,LTL,13.38 x 148.81 x 11.81,13.38,148.81,11.81,131.2,49,203,,5,Freight,In Stock,Awnings,location,2026-05-26T23:58:11.198Z,Copy of oms_inventory_lookup.xlsx,master_lookup,3,EAF1210-A348H3,EAF1210-A348H3,Awning,false,true,Missing: location,Electric,P,,,,1210ft,,814841022066,R348,3639,3639,154,13.608002788194447,150x16,,,"Full Cassette Motorized Retractable Awning,12X10,Acrylic-R34",,"Color: Beige, Fossil and Ash Stripes",,,"database, frontend, legacy",yes,yes,yes,,,,,
EAF1210-A437H3,,STK Linen w/ Emerald & Hazelwood Stripes,Awning,Prestige Series,Knotty Linen with Emerald and Hazelwood Stripes,Beige,LTL,13.38 x 148.81 x 11.81,13.38,148.81,11.81,131.2,49,203,,4,Freight,In Stock,Awnings,location,2026-05-26T23:58:11.198Z,Copy of oms_inventory_lookup.xlsx,master_lookup,4,EAF1210-A437H3,EAF1210-A437H3,Awning,false,true,Missing: location,Electric,P,,,,1210ft,,814841022110,R437,3639,3639,154,13.608002788194447,150x16,,,"Full Cassette Motorized Retractable Awning,12X10,Acrylic-R43",,"Color: Beige, Knotty Linen w/ Emerald & Hazelwood Stripes",,,"database, frontend, legacy",yes,yes,yes,,,,,
EAF1210-A445H3,,Abolone Gray & Ocean Blue Stripes,Awning,Prestige Series,Abolone Gray and Ocean Blue Stripes,Beige,LTL,13.38 x 148.81 x 11.81,13.38,148.81,11.81,131.2,49,203,,6,Freight,In Stock,Awnings,location,2026-05-26T23:58:11.198Z,Copy of oms_inventory_lookup.xlsx,master_lookup,5,EAF1210-A445H3,EAF1210-A445H3,Awning,false,true,Missing: location,Electric,P,,,,1210ft,,814841022165,R445,3639,3639,154,13.608002788194447,150x16,,,"Full Cassette Motorized Retractable Awning,12X10,Acrylic-R44",,"Color: Beige, Abolene Gray & Ocean Blue Stripes",,,"database, frontend, legacy",yes,yes,yes,,,,,
EAF1210-A793H3,,Solid/Variegated Riverwood,Awning,Prestige Series,Riverwood,Beige,LTL,13.38 x 148.81 x 11.81,13.38,148.81,11.81,131.2,49,203,,6,Freight,In Stock,Awnings,location,2026-05-26T23:58:11.198Z,Copy of oms_inventory_lookup.xlsx,master_lookup,6,EAF1210-A793H3,EAF1210-A793H3,Awning,false,true,Missing: location,Electric,P,,,,1210ft,,814841022219,R793,3639,3639,154,13.608002788194447,150x16,,,"Full Cassette Motorized Retractable Awning,12X10,Acrylic-R79",,"Color: Beige, Riverwood",,,"database, frontend, legacy",yes,yes,yes,,,,,
EAF1310-A086H3,,Cedar & Clove Stripes,Awning,Prestige Series,Cedar and Clove Stripes,Beige,LTL,13.38 x 162.59 x 11.81,13.38,162.59,11.81,138.5,56,220,,8,Freight,In Stock,Awnings,location,2026-05-26T23:58:11.198Z,Copy of oms_inventory_lookup.xlsx,master_lookup,7,EAF1310-A086H3,EAF1310-A086H3,Awning,false,true,Missing: location,Electric,P,,,,1310ft,,814841022028,R086,3889,3889,164,14.868121586805557,160x16,,,"Full Cassette Motorized Retractable Awning,13X10,Acrylic-R08",A:\Images\Advaning Parts\2. Classic Series\ZCA-EPL-S1 [C+SG Series Easy Pitch Loop+Screw].png,"Color: Beige, Cedar w/Clove Stripes",,,"database, frontend, legacy",yes,yes,yes,,,,,
EAF1310-A348H3,,Fossil & Ash Stripes,Awning,Prestige Series,Fossil and Ash Stripes,Beige,LTL,13.38 x 162.59 x 11.81,13.38,162.59,11.81,138.5,56,220,,8,Freight,In Stock,Awnings,location,2026-05-26T23:58:11.198Z,Copy of oms_inventory_lookup.xlsx,master_lookup,8,EAF1310-A348H3,EAF1310-A348H3,Awning,false,true,Missing: location,Electric,P,,,,1310ft,,814841022073,R348,3889,3889,164,14.868121586805557,160x16,,,"Full Cassette Motorized Retractable Awning,13X10,Acrylic-R34",https://www.dropbox.com/s/9q669m10hbzbyzo/ZCA-EPL-S2%20%28C%2BSG%20Series%20Easy%20Pitch%20Loop%2BScrew%2C%20Black%29.png?dl=0,"Color: Beige, Fossil and Ash Stripes",,,"database, frontend, legacy",yes,yes,yes,,,,,
EAF1310-A437H3,,STK Linen w/ Emerald & Hazelwood Stripes,Awning,Prestige Series,Knotty Linen with Emerald and Hazelwood Stripes,Beige,LTL,13.38 x 162.59 x 11.81,13.38,162.59,11.81,138.5,56,220,,8,Freight,In Stock,Awnings,location,2026-05-26T23:58:11.198Z,Copy of oms_inventory_lookup.xlsx,master_lookup,9,EAF1310-A437H3,EAF1310-A437H3,Awning,false,true,Missing: location,Electric,P,,,,1310ft,,814841022127,R437,3889,3889,164,14.868121586805557,160x16,,,"Full Cassette Motorized Retractable Awning,13X10,Acrylic-R43",,"Color: Beige, Knotty Linen w/ Emerald & Hazelwood Stripes",,,"database, frontend, legacy",yes,yes,yes,,,,,
EAF1310-A445H3,,Abolone Gray & Ocean Blue Stripes,Awning,Prestige Series,Abolone Gray and Oceah Blue Stripes,Beige,LTL,13.38 x 162.59 x 11.81,13.38,162.59,11.81,138.5,56,220,,8,Freight,In Stock,Awnings,location,2026-05-26T23:58:11.198Z,Copy of oms_inventory_lookup.xlsx,master_lookup,10,EAF1310-A445H3,EAF1310-A445H3,Awning,false,true,Missing: location,Electric,P,,,,1310ft,,814841022172,R445,3889,3889,164,14.868121586805557,160x16,,,"Full Cassette Motorized Retractable Awning,13X10,Acrylic-R44",,"Color: Beige, Abolene Gray & Ocean Blue Stripes",,,"database, frontend, legacy",yes,yes,yes,,,,,
EAF1310-A793H3,,Solid/Variegated Riverwood,Awning,Prestige Series,Riverwood,Beige,LTL,13.38 x 162.59 x 11.81,13.38,162.59,11.81,138.5,56,220,,8,Freight,In Stock,Awnings,location,2026-05-26T23:58:11.198Z,Copy of oms_inventory_lookup.xlsx,master_lookup,11,EAF1310-A793H3,EAF1310-A793H3,Awning,false,true,Missing: location,Electric,P,,,,1310ft,,814841022226,R793,3889,3889,164,14.868121586805557,160x16,,,"Full Cassette Motorized Retractable Awning,13X10,Acrylic-R79",,"Color: Beige, Riverwood",,,"database, frontend, legacy",yes,yes,yes,,,,,
